time, e0, e1, deflection
28.3400001526,529,1805,1.66153989908
28.4360001087,505,1758,1.63178097552
28.5320000648,487,1717,1.63178097552
28.6290001869,473,1679,1.66649971968
28.7400000095,462,1642,1.72601756681
28.8370001316,442,1594,1.75081666978
28.9330000877,421,1532,1.74585684918
29.0290000439,388,1448,1.735937208
29.125,378,1414,1.95912913474
29.2369999886,376,1387,2.1674415997
29.3330001831,369,1357,2.3360754999
29.4300000668,361,1326,2.46999065595
29.5410001278,354,1298,2.67830312091
29.6380000114,349,1269,3.01061110072
29.7330000401,342,1235,3.07508876845
29.8300001621,328,1181,3.24372266865
29.9260001183,325,1159,3.75458418986
30.0380001068,325,1151,4.21088768454
30.1340000629,330,1132,4.34480284058
30.2300000191,326,1101,4.47871799663
30.3260002136,324,1077,4.64735189683
30.4380002022,323,1058,4.87550364417
30.5340001583,322,1037,5.02925808259
30.6300001144,317,1000,5.06397682675
30.7269999981,313,972,5.05901700616
30.8389999866,308,940,5.02925808259
30.9340000153,307,910,5.00445897962
31.0300002098,298,868,4.68703046159
31.1270000935,292,828,4.47375817603
31.239000082,288,788,4.01249486077
31.3350000381,279,745,3.59586993085
31.4309999943,275,699,3.42723603064
31.5270001888,274,680,3.48179405718
31.6400001049,288,678,3.45699495421
31.7350001335,303,678,3.22884320687
31.8310000896,315,678,3.14452625677
31.9270000458,323,678,3.16436553915
32.0400002003,328,674,3.02053074191
32.1360001564,337,666,2.41543262941
32.2320001125,345,654,2.03352644365
32.3280000687,347,647,1.98392823771
32.4400000572,357,647,1.96408895533
32.5360000134,367,652,1.83513361988
32.6330001354,375,654,1.63178097552
32.7290000916,390,668,1.55242384601
32.8420000076,409,683,1.26475425154
32.9360001087,425,695,1.10108017193
33.0329999924,446,720,1.11099981312
33.1290001869,459,736,1.1258792749
33.2410001755,469,743,0.709254344981
33.3370001316,473,743,0.153754438422
33.4340000153,475,739,0.0843169501026
33.5300002098,501,775,0.679495421415
33.6420001984,528,820,1.31435245748
33.7369999886,547,848,1.60202205195
33.8340001106,568,880,1.77065595216
33.9300000668,580,895,1.72105774621
34.0420000553,593,910,1.68137918146
34.1380000114,607,929,1.70617828443
34.234000206,622,950,1.71113810502
34.3300001621,636,968,1.71609792562
34.4260001183,656,1000,2.23687908802
34.5380001068,680,1043,3.04037002429
34.6340000629,705,1081,3.23380302747
34.731000185,709,1087,3.23380302747
34.8260002136,704,1087,3.07012894786
34.9380002022,693,1062,1.94920949355
35.0350000858,662,1004,0.937406092318
35.131000042,631,954,0.768772192112
35.2269999981,615,929,0.798531115678
35.3389999866,598,914,1.30443281629
35.4360001087,575,900,1.61690151373
35.5310001373,546,866,1.97400859652
35.6270000935,516,834,2.56422724724
35.739000082,499,827,3.24372266865
35.8360002041,488,827,3.87361988413
35.9320001602,479,827,4.48367781722
36.0280001163,471,832,4.72670902634
36.1390001774,450,829,4.74158848813
36.236000061,415,790,4.81598579704
36.3320000172,403,786,5.13837413567
36.4280002117,401,803,5.892266866
36.5400002003,401,834,6.4924051579
36.6360001564,399,864,6.78999439356
36.7320001125,388,879,7.0131863203
36.8289999962,376,892,7.15206129694
36.9400000572,366,913,7.60340497102
37.0360000134,374,975,8.06466828629
37.1330001354,378,1009,8.23330218649
37.2290000916,379,1040,8.26802093065
37.3410000801,383,1076,8.40689590729
37.4370000362,393,1117,8.60528873106
37.5329999924,400,1149,8.56561016631
37.6300001144,401,1174,8.28786021303
37.742000103,403,1211,8.06466828629
37.8370001316,411,1265,7.88611474489
37.9340000153,421,1311,7.77699869182
38.0300002098,433,1358,7.67780227994
38.1270000935,451,1418,7.59348532983
38.2380001545,468,1478,7.32069519715
38.3340001106,480,1524,6.96358811436
38.4300000668,495,1583,6.4924051579
38.5260000229,512,1642,5.90714632778
38.6380000114,528,1704,5.366525883
38.734000206,546,1759,4.79614651466
38.8300001621,561,1802,4.44399925247
38.9270000458,578,1838,4.28528499345
39.0390000343,598,1876,4.26544571108
39.1349999905,624,1923,4.2456064287
39.231000185,656,1978,4.26544571108
39.3280000687,691,2031,4.47375817603
39.4390001297,741,2092,4.88542328536
39.5350000858,784,2137,5.32684731825
39.631000042,827,2175,5.75835170995
39.728000164,869,2212,6.04106148382
39.8389999866,908,2243,6.27913287235
39.9350001812,941,2266,6.42296766958
40.0310001373,969,2283,6.54696318444
40.128000021,998,2298,6.67591851989
40.2400000095,1041,2317,6.64615959633
40.3360002041,1074,2331,6.54696318444
40.4320001602,1100,2334,6.60152121098
40.5290000439,1123,2335,6.62136049335
40.6400001049,1142,2336,6.70071762286
40.736000061,1158,2335,6.89911044663
40.8330001831,1171,2325,6.97846757614
40.9290001392,1179,2311,7.48932909735
41.0410001278,1172,2273,8.20850308352
41.1370000839,1166,2258,8.59040926928
41.2330000401,1162,2251,8.8334404784
41.3280000687,1157,2242,9.02687348158
41.4409999847,1156,2242,9.07647168752
41.5370001793,1152,2240,9.12111007287
41.6330001354,1151,2243,8.56561016631
41.7290000916,1159,2274,7.78195851241
41.8410000801,1155,2298,7.50420855914
41.9380002022,1139,2304,7.45957017379
42.0329999924,1117,2308,7.45461035319
42.1290001869,1099,2308,7.40501214725
42.2260000706,1082,2309,7.20165950288
42.3370001316,1067,2315,6.84951224069
42.4340000153,1049,2316,6.52216408147
42.5300002098,1028,2319,6.03114184264
42.6260001659,992,2319,5.81290973649
42.7380001545,963,2307,5.6293963745
42.8340001106,935,2290,5.51036068024
42.9309999943,906,2267,5.47564193608
43.0260000229,878,2243,5.45084283311
43.1380000114,850,2213,5.50044103905
43.2350001335,822,2181,5.55003924499
43.3310000896,790,2143,5.51532050083
43.4270000458,746,2090,5.43100355073
43.5390000343,715,2051,5.43596337132
43.6349999905,684,1999,5.57483834796
43.731000185,654,1945,5.63931601569
43.8270001411,627,1897,5.81786955708
43.9390001297,602,1844,6.03610166323
44.0350000858,581,1800,6.19977574284
44.1320002079,567,1764,6.46760605493
44.228000164,551,1714,6.72551672583
44.3389999866,542,1679,6.96854793495
44.4350001812,531,1649,7.20661932348
44.5310001373,520,1611,7.40997196784
44.628000021,506,1572,7.67284245934
44.7400000095,492,1537,7.85139600073
44.8370001316,480,1490,8.01507008035
44.9330000877,473,1464,8.25314146887
45.0290000439,470,1425,8.47633339561
45.1400001049,462,1390,8.6598467576
45.236000061,453,1344,8.87311904316
45.3320000172,446,1302,9.14590917584
45.4290001392,437,1255,9.23022612594
45.5410001278,426,1201,9.41869930853
45.6370000839,422,1170,9.63693141467
45.7330000401,423,1141,9.64685105586
45.8289999962,423,1095,9.64685105586
45.9409999847,423,1064,9.64685105586
46.0380001068,426,1044,9.64685105586
46.1330001354,437,1032,9.64685105586
46.2290000916,447,1023,9.64685105586
46.3410000801,457,1019,9.64685105586
46.4370000362,471,1018,9.64685105586
46.5340001583,487,1018,9.64685105586
46.6300001144,505,1018,9.64685105586
46.7250001431,513,1030,9.64685105586
46.8380000591,513,1031,9.64685105586
46.9340000153,510,1045,9.64685105586
47.0310001373,518,1081,9.64685105586
47.1260001659,520,1115,9.64685105586
47.2380001545,516,1137,9.64685105586
47.3340001106,507,1160,9.64685105586
47.4309999943,498,1212,9.64685105586
47.5260000229,503,1269,9.64685105586
47.6390001774,508,1321,9.64685105586
47.7350001335,516,1381,9.50301625863
47.8310000896,521,1433,9.10127079049
47.9270000458,529,1485,8.66976639879
48.0390000343,536,1531,8.10930667164
48.1349999905,544,1578,7.58852550924
48.231000185,559,1642,7.09254344981
48.3270001411,577,1699,6.61144085217
48.4400000572,600,1760,6.24937394878
48.5360000134,623,1815,5.98650345729
48.631000042,650,1870,5.7186731452
48.728000164,680,1927,5.50044103905
48.8400001526,714,1986,5.32684731825
48.9360001087,747,2038,5.18301252102
49.0329999924,796,2103,5.08381610913
49.128000021,837,2146,5.14829377686
49.2400000095,872,2176,5.39628480657
49.3370001316,900,2191,5.79803027471
49.4330000877,925,2205,5.95674453372
49.5280001163,955,2229,5.83274901887
49.6400001049,986,2256,5.52524014202
49.7369999886,1020,2284,5.31196785647
49.8330001831,1060,2304,5.2822089329
49.9290001392,1080,2305,5.32684731825
50.0410001278,1102,2307,5.33180713884
50.1380000114,1112,2318,5.42604373014
50.2330000401,1111,2320,5.66907493925
50.3289999962,1103,2300,6.02618202204
50.4409999847,1106,2297,6.17001681928
50.5380001068,1113,2283,6.25433376938
50.6340000629,1120,2280,6.40312838721
50.7300000191,1119,2269,6.55192300504
50.8250000477,1118,2266,6.69575780227
50.9380002022,1118,2259,6.81975331713
51.0340001583,1117,2254,6.90903008782
51.1300001144,1117,2251,6.99334703793
51.2260000706,1117,2247,7.06774434684
51.3380000591,1117,2242,7.19669968229
51.4350001812,1118,2229,7.34549430012
51.5300002098,1117,2220,7.55876658567
51.6270000935,1114,2212,7.74723976825
51.739000082,1113,2206,7.80179779479
51.8350000381,1115,2202,7.80675761539
51.9309999943,1117,2196,7.84147635955
52.0270001888,1120,2191,7.85139600073
52.1390001774,1121,2186,7.86627546252
52.2350001335,1124,2182,7.85139600073
52.3310000896,1126,2180,7.84643618014
52.4280002117,1126,2178,7.86131564192
52.5390000343,1126,2178,7.85139600073
52.6349999905,1126,2178,7.90595402727
52.7320001125,1118,2178,8.02002990094
52.8280000687,1108,2188,7.99027097737
52.9390001297,1096,2203,8.08450756867
53.0360000134,1069,2216,7.97539151559
53.1320002079,1054,2232,7.65796299756
53.2290000916,1040,2240,7.4496505326
53.3400001526,1020,2244,7.34549430012
53.4360001087,992,2245,7.19669968229
53.5329999924,958,2237,7.02310596149
53.6290001869,931,2225,6.91894972901
53.7400000095,901,2209,6.77511493178
53.8360002041,866,2185,6.56680246682
53.9330000877,840,2166,6.33865071948
54.0300002098,811,2144,6.05098112501
54.125,784,2124,5.77323117173
54.2369999886,755,2095,5.47068211548
54.3330001831,723,2062,5.14333395626
54.4300000668,687,2023,4.82094561763
54.5410001278,658,1982,4.60271351149
54.6370000839,631,1940,4.47871799663
54.734000206,610,1901,4.47871799663
54.8300001621,591,1863,4.65231171743
54.9409999847,572,1827,4.87550364417
55.0380001068,560,1789,5.35164642122
55.1340000629,555,1758,5.81786955708
55.2300000191,544,1722,6.17993646046
55.3260002136,528,1670,6.54200336385
55.4380002022,506,1592,6.91398990842
55.5350000858,489,1537,7.13222201457
55.631000042,473,1481,7.16198093813
55.7260000706,458,1422,7.32565501774
55.8380000591,443,1370,7.6182844328
55.9350001812,439,1332,7.84643618014
56.0310001373,438,1295,7.99027097737
56.1260001659,437,1265,8.27298075125
56.239000082,443,1244,8.64992711641
56.3350000381,453,1231,8.87807886375
56.4309999943,457,1218,9.24014576713
56.5270001888,461,1210,9.56253410576
56.6400001049,473,1210,9.64685105586
56.7350001335,477,1196,9.64685105586
56.8310000896,477,1178,9.48317697625
56.9280002117,475,1171,9.522855541
57.0400002003,478,1171,9.55757428516
57.1349999905,478,1172,9.59229302932
57.2320001125,478,1183,9.64685105586
57.3280000687,478,1206,9.64685105586
57.4400000572,484,1246,9.64685105586
57.5360000134,495,1297,9.64685105586
57.6330001354,513,1358,9.64685105586
57.7290000916,525,1398,9.64685105586
57.8410000801,531,1444,9.55757428516
57.9360001087,534,1491,9.48317697625
58.0320000648,543,1533,9.29470379367
58.1290001869,549,1567,8.99711455801
58.2410001755,557,1603,8.7491235283
58.3360002041,567,1637,8.50609231918
58.4330000877,573,1663,8.24322182768
58.5290000439,585,1701,8.04482900391
58.625,606,1755,7.87123528311
58.7369999886,618,1782,7.71748084469
58.8330001831,635,1820,7.55876658567
58.9290001392,657,1862,7.45461035319
59.0260000229,676,1891,7.46452999438
59.1380000114,695,1916,7.58852550924
59.234000206,711,1933,7.78195851241
59.3300001621,731,1955,7.94067277143
59.4260001183,767,1997,8.02994954213
59.5380001068,795,2028,8.06962810688
59.6340000629,823,2056,8.08946738926
59.7300000191,855,2089,7.98035133619
59.8270001411,888,2120,7.87123528311
59.9390001297,919,2145,7.76707905063
60.0340001583,946,2164,7.7125210241
60.131000042,963,2170,7.80179779479
60.2269999981,980,2174,7.83651653895
60.3389999866,989,2188,7.88611474489
60.4350001812,997,2191,7.90595402727
60.5310001373,995,2187,7.99027097737
60.628000021,996,2187,8.08946738926
60.742000103,995,2182,8.20850308352
60.8350000381,994,2176,8.32753877778
60.9320001602,994,2170,8.38209680432
61.0280001163,1002,2170,8.25314146887
61.1390001774,1016,2178,8.0547486451
61.236000061,1028,2186,7.88611474489
61.3320000172,1043,2194,7.67284245934
61.4280002117,1061,2203,7.42981125022
61.5400002003,1076,2207,7.26117735002
61.6360001564,1089,2208,7.16694075872
61.7320001125,1097,2208,7.17686039991
61.8289999962,1104,2199,7.24629788823
